"DONOR","Donor","RECIPIENT","Recipient","AMOUNTTYPE","Amount type","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"20001","DAC Countries, Total","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",64110.562408144,,
"801","Australia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1507.56678175242,,
"1","Austria","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",80.8092773219374,,
"2","Belgium","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",225.138190700855,,
"301","Canada","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",905.476411109454,,
"3","Denmark","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",648.497842000917,,
"18","Finland","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",243.112168109925,,
"4","France","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",8681.67471979077,,
"5","Germany","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",11872.4069096918,,
"40","Greece","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",0.17487354985755,,
"21","Ireland","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",180.495333185185,,
"6","Italy","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",651.906705043305,,
"701","Japan","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",13795.0130527604,,
"742","Korea","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1570.387282,,
"22","Luxembourg","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",176.757724840075,,
"7","Netherlands","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",906.574978506893,,
"820","New Zealand","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",320.58211947184,,
"8","Norway","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1021.37872645859,,
"9","Portugal","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",144.045123646724,,
"50","Spain","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",246.812260683884,,
"10","Sweden","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1575.8468414324,,
"11","Switzerland","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1092.70378935037,,
"12","United Kingdom","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",4248.01692782334,,
"302","United States","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",13675.994985,,
"20006","Non-DAC Countries, Total","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",4209.73468896896,,
"72","Bulgaria","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",4.38,,
"732","Chinese Taipei","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",11.208,,
"30","Cyprus","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",0,,
"68","Czech Republic","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",40.4913520301562,,
"82","Estonia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",6.09393846153846,,
"75","Hungary","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",193.614104485413,,
"20","Iceland","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",19.133799419622,,
"546","Israel","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",150.05729337561,,
"552","Kuwait","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",719.046457259961,,
"83","Latvia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",2.19409032479772,,
"84","Lithuania","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",6.39384676923077,,
"45","Malta","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",2.30003785,,
"76","Poland","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",69.4222498752569,,
"77","Romania","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",68.1346102238454,,
"566","Saudi Arabia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1240.07478004546,,
"69","Slovak Republic","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",10.61555,,
"61","Slovenia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",5.9123281025641,,
"764","Thailand","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",54.7276101705491,,
"55","Türkiye","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",584.685311689999,,
"576","United Arab Emirates","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1164.8021651205,,
"62","Croatia","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",12.790236159977,,
"613","Kazakhstan","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",1.41748337096708,,
"611","Azerbaijan","10100","Developing Countries, Total","D","Constant Prices","2020","2020","USD","US Dollar","6","Millions","2020","2020",6.713,,
