Donor,"ODA, grant equivalent measure",ODA grant equivalent as percent of GNI,status,"ODA, grant equivalent measure (log)",ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),America (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Land-Locked countries (%),Small island states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),Public-Private Partnerships (PPP) and Private Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio,earmarked-to-core-ratio log,share of multilateral,share of cpa,"share of cpa, log"
Portugal,412.99,0.184026,DAC,2.615939535924203,0.07336123915425906,0.003942181340341656,0.0073490047208838285,-0.17609125905568127,0.286562515209033,0.027449262666082642,0.052173066627731544,0.6225239694359275,0.6161636023989775,0.5060988844033512,0.013543430134132048,0.27876893692755134,0.25939013023763857,0.05715522109394855,0.03765803259058307,0.060477279976697905,0.0025665520307313417,0.004408290977546682,0.021075198051961907,0.02681359572188862,0.009161616276696134,0.6461274051761169,0.2157696323558248,0.06756775116585327,0.10042506861412608,0.8102109001942475,0.00011104647604599044,0.08137519604998411,0.06736119332307328,0.028311408855405194,0.5590855536493107,0.6252772654717367,0.2109274604488492
Poland,829.25,0.143632,DAC,2.91868548019152,0.05828629886240015,0.6682387818353321,0.0868705924628307,-0.6989700043360187,0.08799353186902033,0.05475452544580694,0.00902843282576472,0.0931141355612451,0.07602075344010827,0.1215566806830859,0.09975971852741783,0.000729425898910152,0.5485442222582952,0.055167713178819924,0.10807701842371892,0.017179954244621105,0.0021827549538145892,0.04067472692704567,0.011020230422964647,0.15903520018775258,0.018573992899187458,0.29607799897702985,0.5873271877372422,0.0908179996101384,0.07413317605583351,0.4978827805018108,2.1059190653984503e-06,0.14651610678209237,0.031365344191204465,0.013412534207218312,0.7442549328746835,0.29787286482132025,0.11323215254851032
Lithuania,72.02,0.13292,Other,1.8574531170352664,0.05419924368050753,0.6784869976359339,0.2092198581560284,-0.6020599913279624,0.010638297872340427,0.04846335697399528,0.0035460992907801426,0.04964539007092199,0.05742821473158552,0.06890756302521008,0.07983193277310924,0.0,0.30132005824725505,0.019593664056519664,0.11603387617332676,0.07452816950522603,0.00620099672380197,0.0032393943697121,0.007470723023882887,0.1660224905659109,0.0805884718042483,0.28851713659236056,0.25811774561706813,0.2314026684323454,0.12752185846645595,0.502363289792156,0.07721068700558231,0.2756698074404703,0.02528276779773786,0.010843658131511159,0.8558733685087476,0.5372980478345184,0.1867580756853316
Sweden,6348.62,1.13891,DAC,3.802679332926918,0.33019251092697866,0.09417232432538883,0.1276850288257507,-0.6989700043360187,0.022563350187330456,0.1480279838713648,0.062486153300806924,0.5450651594893583,0.6588944589710708,0.4053623742198446,0.17340078527797623,0.0014675505197344009,0.03991657501719165,0.12031751121287582,0.2691791737606813,0.03540171342882053,0.042322106098648955,0.039007511752688226,0.10293580383634182,0.15258260992630765,0.03636481751053882,0.29163388940352586,0.053222159527276054,0.5286177649592791,0.37750606686339805,0.16811690210078256,0.03238209309156635,0.3544902200830243,0.5214455631975736,0.18225641806398846,0.6621465021245451,0.4363461983331949,0.15725912925505567
Italy,4248.38,0.223411,DAC,3.6282233556539665,0.08757238103167427,0.07966343983548178,0.11479911721924062,-0.9030899869919435,0.042120178562471786,0.3670060691177209,0.06970707729347446,0.32670411797161064,0.3702281100572235,0.2818654179228943,0.09168145629753173,0.009550894149008204,0.0971290212224479,0.1082499231075789,0.05705023704844224,0.09650940004707065,0.0035288967342806837,0.07861656384481774,0.09816553808649922,0.12351099012051436,0.025911659205666997,0.39608052734424554,0.23580150421217758,0.3022802656253614,0.2814825281137628,0.4961509758417979,0.004775833866421399,0.19649004196371286,0.15368559353297911,0.062087469480134126,0.7934411270489523,0.46464865185800885,0.1657334561851927
Austria,1273.35,0.296411,DAC,3.1049477926375917,0.11274270734862771,0.3757360261698195,0.12223012373773293,-0.7781512503836436,0.05401792063717823,0.15343478879249045,0.09807993173090601,0.19650120893187317,0.18149931443512646,0.18669154009961103,0.11046972070185318,0.029179352704105873,0.288477854529809,0.04100650450125251,0.055003595023234646,0.1194159107024197,0.061623856189327746,0.06135975336774568,0.045940864093197684,0.09799323424698192,0.04918924496425411,0.18422143309168856,0.34518825679899795,0.23084360868648066,0.21421996257057221,0.2679377872753776,0.013827651535701105,0.39735194970081456,0.21237878448967776,0.08363832800927691,0.6937254370510909,0.14221727410981397,0.057748723849978346
Greece,325.44,0.173017,DAC,2.5124709312426505,0.06930430619284622,0.9134396355353075,0.009111617312072894,-0.3010299956639812,0.0,0.05922551252847381,0.009111617312072894,0.009111617312072894,0.02505694760820046,0.004246284501061571,0.00047180938900684123,0.0,0.00030739475233042024,0.0004032698308776826,0.0,0.0,0.0,0.0,0.0,0.04964225903577792,0.0,2.688229626097574e-05,0.9484732672254534,0.051499850478285474,0.047149377241351265,0.9522223390254129,0.00022501390235821553,0.0,0.01662026841733494,0.007158764007307704,0.7518129301868239,0.0020626745677937014,0.0008948855708577487
Estonia,49.93,0.165745,Other,1.6983615660551097,0.06660356139689955,0.4984894259818731,0.22356495468277948,-0.6020599913279624,0.004028197381671702,0.1581067472306143,0.006042296072507553,0.10976837865055389,0.24195338512763598,0.2026378896882494,0.1420863309352518,0.0,0.11700971723876927,0.05362091488224386,0.23671808139588552,0.020492046475011967,0.03506257003157483,0.0014344672289691891,0.0258882614043801,0.244948166295103,0.05990501060146326,0.3524247183422517,0.09105306509779156,0.3186777559159186,0.2588410161724612,0.24774900971292316,0.06352540401183299,0.35754755014311707,0.15428571428571428,0.06231332076032935,0.7686761466052474,0.36534403246633457,0.13524209648752922
Slovenia,90.73,0.174323,DAC,1.9577509108772793,0.06978756694918366,0.9285714285714285,0.007563025210084032,-0.3010299956639812,0.0008403361344537813,0.042436974789915954,0.0042016806722689065,0.016386554621848737,0.016853932584269662,0.023113964686998396,0.20224719101123595,0.003210272873194222,0.5395579272574076,0.04578092162015768,0.10143631512428028,0.0007304913033883684,0.015514257628342729,0.005186430477260417,0.020315477360723814,0.058284751339097635,0.05577371846337073,0.07017224960747898,0.6498677290553785,0.1258010866471054,0.09911833278868956,0.8133860037192966,0.00217868545557409,0.08352061396078062,0.04939699322649926,0.02093981550648782,0.6928446771378708,0.18980186525085394,0.07547464543238072
Spain,2987.04,0.232614,DAC,3.475241038360058,0.09082709612889113,0.0608356190227408,0.02546911054029344,-0.7781512503836436,0.012669249858504941,0.17590375433555372,0.5380730549871566,0.1870492112557505,0.19276534983341267,0.2817105301253655,0.0803053552988409,0.028634297460841368,0.05864955552299567,0.11685623653067069,0.1510015872858961,0.006879208480121878,0.0243681632996532,0.05165083665623529,0.10109614291979546,0.10771884699817019,0.02981680581951029,0.475567987357052,0.2537633594729805,0.137149199450091,0.14361569523071893,0.24541491838404117,0.009173565497792562,0.6070167307219465,0.07057179224798463,0.029615796274729,0.7056147023214192,0.2381966865320208,0.09278963748759139
