"DONOR","Donor","RECIPIENT","Recipient","SECTOR","Sector","FLOW","Flow","CHANNEL","Channel","AMOUNTTYPE","Amount type","FLOWTYPE","Flow type","AIDTYPE","Type of aid","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"20001","DAC Countries, Total","10100","Developing Countries, Total","100","I. Social Infrastructure & Services, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",49357.744126,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","331","III.3.a. Trade Policies & Regulations, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",523.509843,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","332","III.3.b. Tourism, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",40.751563,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","400","IV. Multi-Sector / Cross-Cutting, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",11545.718499,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","410","IV.1. General Environment Protection, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",3668.802154,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","430","IV.2. Other Multisector, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",7876.916345,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","500","VI. Commodity Aid / General Programme Assistance, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",3928.35495,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","600","VII. Action Relating to Debt, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",1137.642483,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","700","VIII. Humanitarian Aid, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",17240.608506,,
"20001","DAC Countries, Total","10100","Developing Countries, Total","720","VIII.1. Emergency Response, Total","100","Official Development Assistance","100","All Channels","D","Constant Prices","112","Gross Disbursements","100","All Types, Total","2020","2020","USD","US Dollar","6","Millions","2020","2020",16174.839022,,
