"DAC_DONOR","Donor","PART","Part","TRANSACTYPE","Aid type","FLOWS","Fund flows","DATATYPE","Amount type","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,176879.25,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1015","I.A. Bilateral Official Development Assistance by types of aid (1+2+3+4+5+6+7+8+9+10)","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,128893.54,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1330","   Memo: Projects qualifying as programme-based approaches","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,4244.35,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1901","I.A. Memo: Programme-based approaches (PBAs)","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,13859.43,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1902","I.A. Memo: Free-standing technical co-operation (FTC)","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,17142.83,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1903","I.A. Memo: ODA channelled through private entities","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,16151.62,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1904","I.A. Memo: ODA channelled through multilateral organisations","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,28425.42,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1905","I.A. Memo: Post-conflict peacebuilding operations","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,304.46,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","1906","I.A. Memo: Relief food aid","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,4197.24,,
"20001","DAC Countries, Total","1","1 : Part I - Developing Countries","2000","I.B. Multilateral Official Development Assistance (capital subscriptions are included with grants)","1120","Gross Disbursements","A","Current Prices","2020","2020","USD","US Dollar","6","Millions",,,47988.94,,
