Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Portugal,-0.5310303975175839,-0.693394824944496,-0.8108369186671563,1.6001464728126755,0.70064978355945,-0.8239091770376454,1.4721266829726138,1.0059917095185806,1.0062606691939329,0.79172939794547,-0.5659630148057936,-0.6691009012916332,-0.02590051122900962,-0.5994544599684224,-1.0118582008349277,-0.6082830301277193,-0.7479884577631825,-0.7168696113302113,0.8814855119296876,0.08619451871484854,-0.9435536821548873,-0.6345294696529269,1.0321480705570711,-0.6592269158039749,-0.7520988260675222,0.07955777063403689,0.7768127750221409
Poland,-0.7073531077824419,1.467660987822888,-0.32063521459991057,-0.5976681728726508,-0.15799596920717596,-0.6987011864676299,-0.6484862312141533,-0.9410439078444206,-0.771933816680924,2.5578198139553296,-0.5812905553027911,0.16028445937081698,-0.39504221869526857,-0.6127853145860942,0.1858493854619154,-0.8169970523018236,0.0017941755686304672,-0.5139081142129951,-0.47412683520036025,1.6595188240488385,-0.8303037267086988,-0.7880755825331468,-0.08301674343171526,-0.24654158557808345,-0.8351590820476484,0.8491295951531689,-0.4640239889293641
Lithuania,-0.755156988442753,1.5009999606700808,0.433572796548049,-0.19032660883858668,-0.492493039234394,-0.7275492722395013,-0.8226053675657027,-1.0080638362808902,-1.0153931035932011,1.047828294849467,-0.8556354645299564,0.2539992616549049,0.09389370848969314,-0.4732152134152166,-1.050461286529635,-0.8906752572781015,0.04141666389611206,0.8233260388954774,-0.5034072688251483,0.26551348266527985,-0.14552792662706446,-0.4762827118688368,-0.06701912427957747,0.5716821237172011,-0.8494803988898855,1.313020566328968,0.4698352771134827
Sweden,2.472973933046307,-0.39986272672304973,-0.06903930430983123,-0.5976681728726508,-0.44092710305667315,-0.2709967399954289,1.161856374074054,1.1600222587828382,0.5404363586199629,-0.5487674275836386,-0.07885926426887648,2.0577240152919893,-0.23968825203420285,0.7814198181318179,0.13078921177686623,1.090922469211173,-0.034796214765699815,-0.13027998893787768,-0.49133723379882127,-0.6020969345681986,1.302181181525858,0.9836389501296955,-1.2604429220577849,1.0710308072765207,0.1061345756937233,0.5078834608024174,0.0951665441395073
Italy,-0.3648110292632712,-0.44706228959951305,-0.14847302799841325,-1.4556450774754632,-0.3563600808589159,0.7331249289205378,0.28718572202224457,0.11947592191520952,-0.030636477040265717,-0.19932622751801946,-0.1719237718248392,-0.4407021207918249,0.2812999474947643,-0.5660282613163532,1.4388874832152467,0.9919046117475873,-0.19965123782538804,-0.3556841290665684,-0.08685389658631952,0.17101753042990506,0.19971073796083863,0.4228561503628011,-0.08920013679203763,0.07005684252692801,-0.5637994875109921,1.053549512475318,0.20279972152183526
Austria,-0.07040852626610375,0.5161059446231737,-0.10266544087979924,-0.9304904644610779,-0.30491223876332263,-0.24620389383095592,-0.23435723526198068,-0.5608287193598375,-0.4707381436646173,0.9693909027056015,-0.6905009377317837,-0.46480719578177154,0.4765948834391607,1.4518491668714522,0.8689772540309645,-0.09213883503975198,-0.344353537217883,0.14625643752188733,-0.9073060925749434,0.6342050878723379,-0.14825105844488812,0.030039031602345893,-0.9040333264134933,1.3425714849025083,-0.4436548545577964,0.6391268589790357,-1.168723934083861
Greece,-0.5784819562813327,2.2653358965745136,-0.7999714955745602,1.0749918597982902,-0.538494832319622,-0.6781995229970664,-0.9849681278945449,-1.1247515054593116,-1.3143988507098465,-0.7906917011186677,-1.0036306208802335,-1.1126321531615266,-0.5415140281389934,-0.6886013921577763,-1.1574430483165983,-1.0457473279595246,-0.618535064998218,-0.9144238986383122,-1.6206237069186231,3.1887567480404684,-1.0218190409677783,-0.9456624663803062,1.5391986682566527,-1.1747608448918199,-0.8700234436797314,0.8805409537997589,-1.8908295727748414
Estonia,-0.6100709797159528,0.9154410428355236,0.5220014982641391,-0.19032660883858668,-0.5210762278885588,-0.2247806783584249,-0.5817757156336022,-0.34291186814209623,-0.3969992649823262,-0.07789925253499802,-0.5932193699510196,1.6754016276582175,-0.36680418411600063,0.5292662043540305,-1.1100694303293488,-0.508376809806833,0.4889766615590079,0.377323247076468,-0.2559167564541512,-0.44190564693366957,0.2795814993114067,0.2906284630401767,-0.9761171797574248,1.0903998220980624,-0.562540381330866,0.950625199265593,-0.18447374031449162
Slovenia,-0.57282953944436,2.3145618737568987,-0.8095176139162036,1.0749918597982902,-0.5348610772355787,-0.7551831833196689,-0.9558275169313915,-1.1543206508291752,-1.2271511974138005,2.50293347509843,-0.6536809224842766,0.08207114749341739,-0.5352860497947729,-0.14972726991060886,-0.9861599606410978,-0.6240527836513322,-0.5695265034706959,0.2882391325105224,-1.3489765498685176,1.9243406593189107,-0.6599041261280666,-0.6421608794539615,1.0434847498653361,-0.645635111682127,-0.7931949789650153,0.6354663832771911,-0.943585433094603
Spain,-0.3267425410324324,-0.508311995798218,-0.6991376052759578,-0.9304904644610779,-0.4837108605292382,-0.14317269253730283,-0.2722183157601448,-0.52021840260897,-0.03135270694905199,-0.43435044975910714,-0.10555240468804195,0.665844268360353,-0.48286369070054874,0.15780537273226783,0.5483379936334775,1.0527360678724367,-0.28920297715011417,-0.27147644858405134,0.22097174267239225,0.24707525834154098,-0.6046284471426949,-0.38229381125993217,-0.9844510323902543,2.6708547161315153,-0.7448269511437692,0.6885391516839883,-0.7236661844490997
