Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Portugal,-0.8248485231562402,-0.6340044752321388,-1.2109122884207963,2.2483563338446992,0.7373391493288769,-1.4300313961701292,1.0987142419587537,0.7525293035554059,1.5896567969065338,0.820683479890989,-0.9574005121758414,-1.1975551743422486,0.08166536076046632,-0.8395147155635037,-1.9054763062374032,-1.0699417563495424,-1.302068875600687,-0.982298023724157,1.7358246894726623,0.0581469701189432,-1.3518399465856101,-1.1267915980007353,1.6047898550529514,-1.161577937082297,-1.078752508108348,0.014297790871320326,0.9360926746146189
Poland,-1.007822949697748,1.7113481394561445,-0.3093348919537137,-0.34007946496950114,-0.208258193924436,-1.0922731738317994,-1.073223362937292,-1.4211092362582107,-1.3391777691823854,2.8025479315341446,-0.9826586737445924,-0.07913686685759905,-0.48827065027870276,-0.8514261598156349,-0.35732707079418224,-1.2862913607309516,0.5214501134435359,-0.7132581563312845,-0.41712797175019717,1.8148939751599638,-1.201569647077465,-1.3869539718208455,0.24451538999626743,-0.7013637963602762,-1.1986236505642323,1.2301183544451448,-0.5785140758591443
Sweden,2.2924808831776593,-0.31543969315137615,0.15339949652156282,-0.34007946496950114,-0.5198406219859503,0.06149259518170837,0.7809345344641762,0.9244864753727869,0.8224053216763942,-0.6835900170791719,-0.15470517862143873,2.4795424122085095,-0.2484120315773388,0.3943301844467771,-0.42849750234954637,0.6914273827015084,0.4324599599977393,-0.20473185248466694,-0.44446113490831357,-0.710387492261743,1.6280044979584638,1.6149680560504993,-1.1917052880446177,0.7679529013879389,0.15983527553074764,0.6909950989348917,0.10405254433831772
Italy,-0.6523585838810373,-0.36666447760647947,0.007305247561112025,-1.3505459930680142,-0.42670983870380497,2.770188329059837,-0.11490556364198676,-0.23716234096506023,-0.11819924892725373,-0.29145545473085993,-0.3080656194974695,-0.8895615809731503,0.5559672358755509,-0.8096475905198491,1.2623420330944695,0.5887870614342032,0.03152207263588524,-0.5035210358094454,0.19793009081015298,0.1528588939631198,0.16514684736882235,0.6648001771758713,0.23697290659835407,-0.3483028492591595,-0.8070021195487542,1.553074485589407,0.23543319147441855
Austria,-0.3468498432464655,0.678643618173845,0.0915544143636283,-0.7320548009616006,-0.3700520812468349,0.12837321205845156,-0.649071301253135,-0.9966432533339206,-0.8430833850787463,1.0200509740564576,-1.1626258044735522,-0.9220670464066291,0.8574926785904547,0.9933751850515049,0.525679682719873,-0.5349149706652913,-0.32040311070428895,0.1618368049246063,-1.1050934044386636,0.6700461970198307,-0.29656038383733807,-0.0007733901186562532,-0.7569580058720448,1.0707668142457478,-0.633611437782876,0.8983421161364978,-1.4386943388862365
Greece,-0.8740901763741131,2.577049488703638,-1.1909286372379102,1.6298651417382855,-0.6272886414759838,-1.0369683536100898,-1.4178490510474437,-1.6261973767479652,-2.2326629054704097,-0.9550716543511294,-1.6786303213420384,-1.7956528688044031,-0.7144156702414666,-0.9191696771902217,-2.0936583574321643,-1.523410223781746,-0.9872300017605067,-1.2441702507976953,-2.2379681966679192,3.522414880964027,-1.4556895142396464,-1.653962865862815,2.223288548600689,-1.7364857101750384,-1.2489393016601409,1.2797441002891798,-2.3201205721270757
Slovenia,-0.8682245239702617,2.6304735019166277,-1.208485827368863,1.6298651417382855,-0.6232869106778832,-1.24463772152571,-1.3880031567981435,-1.6592078843073161,-2.088958746665823,2.740955793965621,-1.1019503233506946,-0.18460677751869597,-0.7047999886141939,-0.43767248513815954,-1.8722589238282936,-1.0862884296611228,-0.8680380671940133,0.35004494279503207,-1.8065443674863582,2.110589506210319,-0.9754680215674512,-1.1397219526166154,1.6186183001295231,-1.1464207701159441,-1.1380617738965837,0.8925590540635772,-1.163882773580938
Spain,-0.6128539744471376,-0.4331376143636764,-1.0054752707220926,-0.7320548009616006,-0.5669569179323268,0.4063078329712212,-0.6878487244904606,-0.9513065636418867,-0.11937893929902309,-0.555194019366212,-0.19869264377390145,0.6026057496876448,-0.6238625338993106,-0.16288455641112973,0.1112234068167988,0.6518439721748613,-0.18627344555973158,-0.39189777961423855,0.6868117616194653,0.23778365185696498,-0.9021232436033251,-0.6994136174145952,-0.8550512658157039,2.5520279134976223,-1.0682578624487542,0.976406930426638,-0.8954420018094343
Australia,-0.6928995712080308,-0.6371708722788936,0.37342735411781686,1.1501261024336484,3.0466655763709105,-1.2253895192641133,-1.320702757498905,-0.3844348975313939,0.5629518558154413,-0.5262484850174854,0.6302469679696455,0.7336005849895281,0.01977978483530773,-0.10787699970807246,0.03587648431106443,1.9956655715206604,-0.2868870607999035,1.8821909669992682,1.1686056735017012,-0.7349669592720409,-0.45441514532035054,0.6662376830142563,-1.008725539316084,-0.18076822963858552,1.5180289183100997,-0.8325142275542976,1.0381789280609415
Belgium,0.3452768932308507,-0.5684517778767,-1.2006585888457486,-0.34007946496950114,-0.4656482987620092,0.033387025014032845,1.446503383146725,1.069930522632048,0.3755960178546565,-0.3200750960918876,-0.08802894446858624,-0.8086356930575782,-0.23237314867306963,-0.2769984465586576,1.7709801560091285,1.3018427342479895,0.5200107997840335,-0.8295507280130703,-0.6281217741433842,-0.19429001955202044,1.0328224679326723,-0.5712766311660513,-0.34115436126699683,1.1813086656913945,-0.8204209313810245,0.178462459502677,-1.1545501977783217
