,Donor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,size,status
0,Portugal,1.5002260833274288,1.6850722821299602,-0.31150318348754014,-0.6776082861190083,-1.0894542296764045,2.7290907199401966,0.47366925973794594,-0.04241520237590558,0.0024220784491249562,0.5640867514840413,-0.049214121683912655,0.46827930678615776,-0.33752579545936495,-0.9278447230141672,-0.4127189472801779,-1.1282453693545318,0.6124143276464046,0.057115163557034804,-0.4594008630704676,0.04687931322063134,0.09762650681462273,-0.23425637282435235,-0.2159423990184668,-0.3322831201869752,0.07747088786009435,0.0655167626253895,-0.168384338146446,412.99,DAC
1,Poland,2.8608692339659676,-1.935987014359236,-1.7954309816071872,0.05609771242003034,0.37589541939012766,0.15712067450771608,0.4231071828912742,0.8000864143400067,-0.4892889353509371,-0.8625643527161948,0.28382283641829137,0.10813481683097803,0.23595938847305825,-0.4919220951814977,-0.43968160975878307,0.38827912824425154,0.5195924975630453,-0.08716656985709098,1.0318214565335544,0.7827966259450426,0.019416639412755513,0.13376490556798235,-0.04253257170485426,0.22720520210699235,0.060136502243901976,-0.1679102959358551,0.06005892055471477,829.25,DAC
2,Lithuania,2.0918571725127197,-2.374358882593371,-0.494368181181967,-0.6273394368556068,-0.3833096547968021,-0.40826958646885647,0.5444538282186987,0.6603364303933291,-1.0284257335768727,-0.030456836811720338,-0.6919689901351631,-0.14187913444941114,-0.10067987135708786,-0.11964984545720385,0.12344131384447533,0.20439159800589102,-0.5279139720125661,-0.9383036020113024,-0.3021574379426743,-0.12168664201796478,-0.17500860718981975,-0.31454093676905426,-0.020564186701597043,0.2576233479737008,0.12873352752694148,-0.043048299924405495,-0.008351181186918407,72.02,Other
3,Sweden,-3.900147607187734,-0.724506625798949,-1.0911553189531773,0.824983339119122,-0.8619479482118423,0.17165161111660804,-0.04967901478368528,0.1374376024806359,-0.6090202899235552,0.5798565022084216,-0.23396793009689715,-0.22852608641040478,-0.7424527823739729,0.4092487574245155,1.1858919272517077,-0.4976306979899467,0.32627451180530626,-0.15253964957727928,0.7454655331014509,-0.3667935304246349,0.35426894107384993,-0.009869744034226908,-0.260708365119308,-0.024776371127313374,-0.0404136980228852,-0.07433887490489857,0.00882089685436,6348.62,DAC
4,Italy,-0.6347988355399563,0.2588490528968458,-0.9137263789855316,0.23262660337641367,1.1085103251584134,-1.0365097318183087,0.962883712345674,-0.6186772653144715,-0.22319200500925276,-0.7644767991024409,0.580126923790424,0.11793849301425555,-0.8074521283238336,-0.40031542069004317,-0.3908924745415546,-0.5115343975587597,-0.5823294850695119,0.003492910856225204,-0.15433000159952326,0.37953212739615194,1.071101317341238,-0.06716867491920743,0.027538002348946294,0.02713255961516309,-0.1012588284636354,1.1503303652656103e-05,-0.05569861350943833,4248.38,DAC
5,Austria,-0.12845134845286454,-1.521701987248866,-1.943985037095714,0.3317851323232296,-0.07790745122164103,-1.1078917955985137,0.18943638408483926,-0.27914204393800796,-0.3941100815131962,-0.3117418251047883,0.960499516608308,0.299017688367645,0.9934051773437315,0.18530373422789675,-0.9749484048602179,1.0013187831206023,0.29564325464751773,-0.6764474707443601,-0.11024333265889195,-0.17144555019439092,-0.0427838181455454,-0.36065829371063457,0.024395964484785124,-0.21868926611558231,0.059736844242069535,-0.020799132571312936,-0.15662913428741196,1273.35,DAC
6,Greece,4.880941229536443,-2.2685258184668657,-0.6697081643001149,1.5257285257297812,-0.03569174980331863,1.108147751847186,-0.9443728634007694,-1.9624002711211925,0.6119676674086862,-0.1705906454701777,0.6348845223608798,0.20767916414034251,-0.7836165264171385,1.638327631457011,-0.30058933771010166,0.4950654166523709,-0.3338375458800457,0.5202686908840383,0.17755334438583167,-0.24794420215060006,0.03846184000145126,-0.17591082424106286,0.20995541834093345,-0.23766457967296747,-0.16351143826903375,-0.1282810428502344,-0.035960040632359296,325.44,DAC
7,Estonia,-0.19823320670794015,-2.349944019703912,0.13169632398563957,0.1500293903686937,-1.2688362747919797,-0.719822561835732,0.8989759021689068,0.25502117092242393,-0.8295607029346127,0.26655419769549044,-1.1715545870065593,-0.17280916709963795,0.558786914032664,0.3769020121903841,0.2871556953065198,0.02684054490155201,-0.12715697207584453,-0.30547039226765443,-0.18428469192354793,0.05208058659557213,-0.08439839675600531,0.38184281769063766,-0.2195630462061204,0.25158093404740384,-0.07124587087351494,0.010774643624115563,-0.09071729508557025,49.93,Other
8,Slovenia,3.9442915480362304,-2.9130972592709408,-1.3944013030558566,0.21857644921157993,0.08016427778472267,0.8940147883490432,-1.0707611238883097,0.8072479509578121,0.05171730997782108,0.010281667222886762,0.6002257858828322,0.14435483935675175,-0.058996423062304196,0.22525580835894402,-0.007420951698095154,0.34377242684482706,0.8638703663071375,-0.43579484374318694,-0.10601687966342063,0.20070980466440502,-0.1024544855833411,0.5940708862111301,0.015166505199499754,0.11054724810120542,-0.3222651181104765,0.123912339922464,-0.05148804969139911,90.73,DAC
9,Spain,-0.8664622014486638,-0.6646488743273622,-1.9216325176037785,0.644079457959526,-0.7973974955188813,-1.6095100126027486,1.447886343905428,-0.16389488291525173,0.8272510352436477,-0.9290284910080978,-0.9498125838145687,0.35353519218677115,-0.09195990355881688,0.3527298519438039,-0.7175192597356944,-0.013641465186277412,0.35616276691281473,0.2638659351767951,-0.4247871061310688,-0.5532296830029366,-0.1210645826659993,-0.2593588970546863,-0.4742781846425297,-0.09040299212114619,-0.18745469633720827,0.1698811378978178,0.360630904927306,2987.04,DAC
